bal,brick,dist,floor,kitsp,livsp,metrdist,price,rooms,tel,totsp,walk
0,1,10,1,8.5,58,5,107,3,1,88,1
1,1,15.625,1,8.5,54,24,75,3,1,80,0
1,1,21.875,1,8.5,55,10,64,3,0,80,1
0,0,15,0,9,48,10,86,3,1,82,1
1,0,14.375,0,10,46,25,62,3,1,76.8,0
0,1,1.25,0,8,61,7,110,3,1,83,1
1,1,12.5,1,9,52,5,78,3,1,75,1
1,0,19.375,1,7.1,43,5,67,3,1,64.5,1
1,1,2.5,1,9,70,5,110,3,1,90,1
1,1,3.75,1,12,46,5,108,3,1,85,1
1,1,6.875,1,9,41,4,95,3,1,64,1
1,1,8.125,1,10,56,6,106,3,1,84,1
1,0,18.75,0,9,39,10,62,3,1,66,1
0,1,15.625,1,8,51,10,64,3,1,79,1
1,1,5,1,12,50,5,93,3,1,80,1
1,0,13.125,1,10.5,45,10,92,3,1,75,1
1,1,1.5,0,9.5,36.2,5,130,2,1,64.6,1
1,0,1.5,1,8,30.3,5,42,2,0,50.4,1
1,1,1.5,1,11.8,30,5,95,2,1,51,1
1,1,4.5,0,5,29,5,55,2,1,42,1
1,0,4.5,1,6,30,15,45,2,1,44.7,0
0,0,4.5,0,10.5,30,10,62,2,0,60.6,0
1,0,4.5,1,10,32,15,57,2,0,50,1
1,1,2.4,1,8,21,5,61,2,1,37.4,1
1,0,9,1,8.6,34,10,75,2,1,55,1
0,1,2.2,0,8,32,0,61,2,1,57,1
1,0,2.2,1,8.9,31,5,60,2,1,47,1
0,1,2.3,0,8.6,32,10,48,2,1,54,1
0,1,2.3,1,10.8,32.4,5,98,2,1,54.2,1
0,0,2.3,1,10.8,31,5,72,2,1,57.1,1
1,1,2.3,1,5.6,27,17.5,36.5,2,1,44,0
0,0,2.3,1,10,31.5,7,53,2,1,51,0
0,1,2.3,0,5.2,26,7,39,2,1,40,1
0,1,1.6,1,11.2,38,7,93,2,1,75,1
1,1,3.9,0,6.5,38.5,5,63,2,1,60,1
1,0,3.9,0,6,30,10,35,2,1,44,0
0,1,4,1,10,32,5,79,2,0,66,1
0,1,1.9,1,9,30,3,110,2,1,51,1
1,1,2.4,1,6,37,10,65,2,1,56,1
1,0,12.9,1,6,30,15,44,2,1,45,1
0,1,12.9,0,10,35,15,46,2,1,61.5,0
0,1,10.5,0,9,31,7,55,2,1,52,1
0,1,5.7,0,13.2,31.2,5,60,2,1,64.4,1
1,0,6.6,1,9,32,7,47,2,1,48,1
0,1,9.7,0,6,31,15,35,2,0,48,0
1,0,9.7,1,8.7,30.4,10,42,2,1,52.3,0
0,0,9.7,1,6.9,26.8,10,30,2,0,45.3,0
1,0,12.2,1,5.3,28,1,38,2,1,42,1
0,1,12.2,0,6,29,2,34,2,1,45,1
1,0,11.9,1,6.5,27,5,36,2,1,42.8,1
1,1,7.5,1,8.5,34.7,10,56.5,2,1,57,1
0,1,10.7,0,7.2,35.1,10,45,2,1,56.5,1
1,1,7,1,9,35,10,58,2,1,58,1
1,0,7,1,6,31,7,34,2,1,46,0
0,1,5.4,1,13.5,40.1,7,105,2,1,80,1
0,0,9.6,0,6,28,10.5,36,2,1,44.4,0
1,0,8.2,1,6.5,23.6,15,34,2,1,37.6,1
0,0,12.6,1,6.7,27,7,57,2,0,44,1
1,1,6,1,7.4,28,5,41,2,1,46,0
1,1,8.36,1,6.6,29,3,54,2,1,43,1
1,1,3.42,1,6.2,34,5,75,2,1,50.5,1
1,1,3.42,1,8.1,31.4,5,87.9,2,1,57.9,1
1,1,3.42,1,10,30,5,96,2,1,52,1
1,1,7.6,1,9,38,10,59,2,1,60,1
1,0,6.84,1,9,30.8,12,54,2,1,51,1
0,1,7.6,0,6,24,3,39,2,1,39.6,1
1,1,7.6,1,10,37,5,76,2,1,62,1
1,0,11.4,1,8.5,32,10,65,2,1,52,1
1,0,5.7,0,6,31.4,2,41,2,1,47.2,1
1,1,9.5,1,9.4,31.2,12,83,2,1,51.7,1
1,1,9.12,1,6,28.7,2,48.5,2,1,43.6,1
1,0,16.34,1,10.3,34,5,64,2,1,58,1
1,0,15.96,1,7.2,31,5,50,2,1,48,1
0,1,9.12,1,10,35.5,10,76,2,1,55.5,1
1,1,9.5,0,10,34,10,82,2,1,56,1
0,1,9.88,1,8,36.9,5,69,2,1,56.5,1
0,1,8.36,0,5.8,29.6,10,35,2,1,45,1
1,1,10.26,1,6,27.2,7,35,2,1,40.4,0
1,1,6.46,1,12.6,44.5,7,65,2,1,79.4,1
1,1,1.2,1,8.6,31.8,10,150,2,1,55.2,1
0,0,4.2,0,6,24,7,40,2,0,40,1
1,1,4.2,1,9.8,36.5,7,74,2,1,59,1
1,1,4.2,0,9,36,7,70,2,1,58,1
1,1,4.2,1,7.5,30,10,58,2,1,54,1
0,1,3.5,1,6,34.7,7,63,2,0,52,1
1,1,3.5,1,7.7,34,3,83,2,1,56,1
0,1,3.5,1,7.8,34,7,68,2,0,67,1
1,0,3.5,1,7,22,10,48,2,1,38,1
0,1,3.2,1,8.5,34,2,62,2,1,54,1
1,1,2.7,1,8.4,31,3,80,2,1,51,1
1,1,2.9,1,11,40,10,165,2,1,71,1
1,0,4.1,0,5.1,34,5,44,2,1,44.6,1
0,1,1.6,0,7.5,41,10,85,2,1,60,1
1,1,2.4,1,7.5,38,10,83,2,1,60,1
1,1,2.4,1,7.5,54,7,87,2,1,73,1
0,1,1.2,1,6,22,5,42,2,0,37,1
1,1,3.5,1,7.5,36.6,5,76,2,1,65,1
1,0,3.2,1,11,40.1,15,110,2,1,72,1
0,1,2.5,1,10.5,36,15,75,2,1,63,1
0,1,2.5,0,9,40,10,69,2,0,70,1
1,1,2.5,1,8,25,10,56,2,1,50,1
0,0,2.5,0,7.7,23,5,35,2,1,37,0
1,1,2.5,1,9,32,5,52,2,1,61,0
1,1,2.6,1,7.5,35.4,5,100,2,1,60,1
0,1,2.6,0,7.2,39.3,10,85,2,1,60,1
1,1,3.6,0,8,33.5,7,55,2,1,54.3,1
1,0,3.6,1,6.3,31,10,37,2,1,42.5,1
1,1,3.1,1,6,29,6,64,2,1,45,1
1,1,3.5,1,8,38,2,63,2,1,71,1
1,0,13.6,0,7,31,10,60,2,1,54,1
1,0,12.8,0,9,31,2,70,2,1,51,1
1,0,13.1,1,9,34,7,117,2,1,62,1
1,0,13.7,1,6,32,15,46,2,1,46,0
1,1,5.4,1,16,40,3,125,2,1,70,1
1,1,6.3,1,16,40,5,128,2,1,70,1
1,1,6,1,8.5,37,2,108,2,1,57,1
1,1,4.8,1,7.5,35.2,5,100,2,1,58,1
1,1,6,1,11.2,36,2,120,2,1,64,1
1,1,5.2,0,9.1,36.1,5,77,2,1,58.7,1
1,1,5.2,1,6.5,30,5,85,2,1,52,1
1,1,5.2,1,8.6,35.5,7,86.5,2,1,59.6,1
1,0,12.5,1,8,23,10,39,2,1,38,1
1,0,12.6,1,10,25,10,65,2,1,57.5,1
1,0,12.4,1,10,34,10,67,2,1,60,1
1,1,15.2,1,8,33.5,14,72,2,1,60,0
1,1,13.5,0,6,30,15,35,2,1,44,1
1,0,14.2,1,9,24,5,60,2,1,58,1
1,1,13.8,0,5.6,29.3,10,35,2,1,43.6,1
1,0,14.2,1,5.8,31.4,7,41,2,1,48.6,1
0,1,13.8,0,6,30,9,35,2,1,44,1
1,1,13.7,1,9,32.5,12,65,2,1,52,1
1,0,11.5,1,9.5,32,12,51,2,1,47,1
1,0,12.2,1,9.3,32,5,64,2,1,55,0
1,0,10.6,1,12,33,15,87,2,1,62,1
0,0,11.3,1,9,24,5,45,2,1,39,1
1,0,12.2,1,8.6,30,5,59,2,1,50,0
1,0,11.3,1,11,37.5,5,86,2,1,64,1
1,0,12.2,1,10,30,7,65,2,1,54,0
1,1,8.5,1,10,34,5,60,2,1,64,1
1,1,7.9,0,8,38,5,64,2,1,67,1
1,1,8.9,0,6,29,3,40,2,1,44,1
1,1,8.7,0,6.5,29,7,43,2,1,44,1
1,0,6.3,1,6,28.2,15,48,2,1,43,1
1,1,8.2,1,8,33,7,59,2,1,55,1
0,1,13.2,0,9,38,10,48,2,1,64,0
1,0,13.4,1,8.5,36,10,83,2,1,55,1
1,0,13.2,1,9.4,32.3,15,43,2,1,53.8,0
1,1,12.7,0,6.5,30,7,34,2,1,44,0
1,0,13.9,1,9.2,33,5,66,2,1,55,0
1,0,13.9,1,9.5,32.5,10,64,2,0,54,0
1,0,12.7,1,9,31,8,51,2,1,53.5,0
1,1,12.7,1,6,30,10,36.5,2,1,44,0
1,0,13.2,1,9,30,5,57,2,1,52.4,0
0,0,11.2,0,6,28,15,37.5,2,1,44.1,0
1,0,18.4,1,9,32,15,45,2,1,55,0
0,0,9.3,1,10,32,15,53,2,1,52,1
1,0,10.1,0,5.5,30,7,36,2,1,45.5,0
0,1,9,1,8.5,33,10,55,2,1,56,1
1,0,15.6,1,6.5,29,5,43,2,1,45,1
0,0,17.3,1,6.7,27.5,3,37.5,2,1,44,1
1,0,17.8,1,7,31,8,43,2,1,47,0
1,0,17.9,0,7,29,7,41,2,1,45,0
1,0,15.5,1,8.5,30.6,5,53,2,1,53,0
0,0,15.7,1,10.5,33.5,7,57,2,1,57.5,0
0,1,15,0,6,28,10,35,2,1,44,1
0,0,12.9,0,6,30,7,37,2,0,46.1,1
0,0,15.7,1,6.5,28,5,39,2,1,44,1
0,0,16.2,0,7.5,21.3,10,34,2,1,38,0
0,0,15.9,1,6.5,27.9,10,39,2,1,44.5,1
1,0,15.4,1,6,28.5,1,43,2,1,44.5,1
0,1,13.1,1,9,36,10,56,2,1,57,1
1,1,13.5,0,9,36,15,56,2,1,67,1
1,0,18.4,1,9.5,32.5,7,46,2,0,54.5,0
0,1,13,0,9,49,10,61,2,1,84,1
1,0,16.4,1,9,32,7,47,2,1,54,1
1,0,15.9,1,10.3,34.5,10,52,2,1,59,0
1,0,18.4,1,8.3,30.7,10,47,2,1,51.6,0
1,0,11,1,9.5,32,10,55,2,1,54,0
1,1,11.4,0,5.5,28.8,7,36.5,2,1,43.4,1
1,1,10.6,1,6,26,8,40.5,2,1,43.5,1
1,0,13.9,1,8.8,30.5,10,53,2,1,52.7,0
0,0,0.85,1,10,20,5,65,1,1,36,1
1,0,3.93,1,9,19.8,2,43,1,1,40,1
1,0,3.93,0,9.6,19,5,34,1,1,34.5,1
1,1,4.47,1,7.9,17.6,5,75,1,1,42.8,1
0,1,4.47,1,6,19,10,35,1,1,32.6,1
1,1,3.4,1,8.9,20,5,70,1,1,40,1
1,0,3.93,1,10,19.4,10,36,1,1,38.3,0
1,1,3.32,0,7.5,18.4,7,57.6,1,1,43.4,1
1,0,3.65,1,5.3,24.5,5,31,1,0,32.4,1
1,1,3.4,1,10,21,10,53,1,1,41.5,1
1,1,2.63,1,15.5,39.2,5,149,1,1,71.6,1
0,1,2.75,1,14,41,10,59,1,1,65.4,1
0,1,3.65,0,6,18,7,28,1,1,30,1
1,0,4.78,1,9.9,18,10,32.5,1,1,33.2,0
1,1,4.45,1,7,18,10,50,1,1,33,1
1,1,3.24,1,8,19,10,60,1,1,35,1
1,1,2.6,1,8,19.8,10,53,1,1,36,1
1,1,3.24,1,8,19,10,60,1,1,35,1
1,0,3.73,1,8,19,10,46,1,1,38,1
1,0,3.64,1,10,20,10,57.5,1,1,45.6,1
1,0,7.64,1,10,20,10,36,1,1,35,1
1,0,7.64,1,10,20,10,36,1,1,35,1
1,0,5.2,1,8.5,18,5,43,1,1,39,1
1,0,12.92,1,10,19,10,36,1,1,35,0
1,0,9.96,1,9.9,19.4,15,30,1,1,38.9,0
1,1,12.92,1,8,18,7,37,1,0,32.5,1
1,0,12.92,1,8.5,19,7,39,1,1,38,0
1,0,9.96,1,10,19,5,31,1,1,34,0
1,1,10.57,1,8,18,10,40,1,1,34,1
1,0,10.57,1,9.9,18.7,10,39.3,1,1,36.5,0
1,0,10.57,1,10,20,5,36.5,1,1,35,0
1,0,5.6,1,10,20,12,43,1,1,35,1
1,1,7.1,0,5.5,16.7,7,30,1,1,30,1
1,1,5.6,1,11,25,5,105,1,1,54,1
1,1,5.6,1,9,21,7,54,1,1,38,1
1,1,6.7,0,8,16,10,41,1,1,32,1
1,0,9.96,1,10,19.9,11,31.5,1,1,35.1,0
1,0,7.1,1,8.5,21,10,47,1,1,40,0
1,0,9.96,1,10,20,10,33,1,0,36,0
1,0,13.4,1,8.7,19.1,15,38,1,1,39,1
1,0,8.15,1,10,21,15,34,1,1,39,0
1,1,6.5,1,5.7,17.6,1,40,1,1,32,1
1,0,15.2,0,9.8,17.4,10,32,1,1,33.7,1
1,1,6.5,1,8.5,18.6,15,31,1,1,33.9,1
1,0,8.15,1,10,20,15,47,1,1,39,1
1,1,16.7,1,7.5,16,15,33,1,1,38,0
0,0,16.7,1,10,19.6,7,36,1,0,38,1
1,0,16.7,1,8.5,19,10,35,1,1,38.5,1
1,1,8.15,1,7.8,17.5,10,36,1,1,37.8,0
1,1,10.66,1,7,19.5,3,32,1,1,37,0
1,1,13.4,0,6,19,15,32,1,1,33.3,1
1,0,13.4,1,7.5,18,10,32,1,1,35,0
1,1,13.4,1,6,18,5,30,1,1,30,0
1,1,13.4,1,8,17,10,30,1,1,32,1
1,0,13.4,1,9.8,19.6,3,37,1,1,37.2,1
0,0,15.2,0,5.7,19.2,5,31,1,1,33.2,1
0,0,14.9,1,9,21,5,32,1,1,39,0
1,0,10.9,0,5.1,20.4,15,29,1,1,31,1
1,1,15.2,0,7,20,15,29,1,1,32,1
1,1,11,1,6.2,18.6,10,32,1,1,32,1
1,1,11,1,9,19,1,46,1,1,38,1
1,0,12.45,1,10.2,19.2,16,34,1,1,35.2,0
1,1,12.45,1,10,18,2,56,1,0,42,1
1,1,12.45,1,8.5,19,10,45,1,1,37,1
0,0,12.45,1,8.1,19.7,7,30,1,1,35,0
1,0,12.45,1,10,19.4,10,33,1,1,34.6,1
1,0,12.35,1,9.7,28,2,37,1,0,38.7,1
1,0,12.35,1,10,19.7,12,36,1,1,37.5,0
1,1,12.35,1,6.5,22.7,3,37,1,1,38,1
1,1,12.35,1,8.5,18,7,34.9,1,1,35,1
1,1,10.3,0,8,19.1,15,37,1,1,36.6,1
1,0,10.3,0,5.5,18.5,3,30,1,1,34.5,1
0,0,10.3,1,7,19,5,32,1,1,33,1
1,0,10.3,0,5.6,22,7,29,1,1,32,1
1,0,10.3,0,6,20.5,5,27,1,1,32.3,1
0,0,10.3,0,6.2,19,5,31,1,1,33,1
1,1,11,1,8.3,18.5,2,44.9,1,1,35.8,1
1,1,10.3,1,6,18.5,15,30,1,1,30,1
1,0,7.96,1,10,17,7,38,1,1,32.6,1
1,0,6.08,1,10.6,19,15,35,1,0,38,1
1,0,6.08,1,5.5,21.4,3,26.5,1,0,31.8,1
1,0,12.9,1,9.6,19.5,2,38,1,0,38.9,1
NA,NA,NA,NA,8.2,19.4,3,36,1,NA,38.2,1
NA,NA,12.9,NA,8.7,19.5,10,30.5,1,NA,39.5,0
NA,NA,12.9,NA,10,20,10,38,1,NA,40,1
NA,NA,12.9,NA,8.5,19,15,30,1,NA,39,0
NA,NA,12.9,NA,8.5,18.7,5,29,1,NA,37.5,0
NA,NA,NA,NA,8.5,19.1,5,35,1,NA,38,1
NA,NA,NA,NA,8.5,19.1,3,33,1,NA,37,1
NA,NA,10.3,NA,9.5,18.5,10,34,1,NA,36.8,1
NA,NA,10,NA,6.5,19,12,24,1,NA,33,1
NA,NA,NA,NA,5.7,17.9,15,29,1,NA,30.1,1
NA,NA,NA,NA,8.6,19.7,7,32.5,1,NA,36,1
NA,NA,NA,NA,8.5,21,10,33,1,NA,37,1
NA,NA,NA,NA,8.5,19.1,5,32,1,NA,38.1,1
NA,NA,NA,NA,9,21,5,35,1,NA,42,1
NA,NA,NA,NA,10,19,7,32,1,NA,37,0
NA,NA,11.4,NA,6,21,15,31,1,NA,31,1
NA,NA,11.4,NA,6.1,16.6,10,30,1,NA,29.4,1
NA,NA,16.3,NA,8,20,7,29,1,NA,36,0
NA,NA,16.3,NA,8,17,3,34,1,NA,35,1
NA,NA,16.3,NA,10,19,3,33,1,NA,35,1
NA,NA,12.7,NA,8.5,19.5,7,35,1,NA,39,1
NA,NA,10.3,NA,9,17.8,7,35,1,NA,36.6,0
NA,NA,10.3,NA,9,19,10,36,1,NA,38,0
NA,NA,15.5,NA,9,21,5,35,1,NA,39,1
NA,NA,10.3,NA,7.8,17.2,15,31,1,NA,32,1
NA,NA,10.3,NA,8,18,5,53,1,NA,38,0
NA,NA,10.3,NA,10,20.1,5,34,1,NA,35.4,0
NA,NA,7.5,NA,9,19,7,47,1,NA,40,1
NA,NA,7.5,NA,6,18,10,28,1,NA,31,1
NA,NA,11.7,NA,10,19.8,7,36,1,NA,34.6,0
NA,NA,11.7,NA,10,20,10,36,1,NA,35,1
NA,NA,14.5,NA,7,18,5,35,1,NA,33,1
NA,NA,14.5,NA,9,19,2,39,1,NA,39,1
NA,NA,14.5,NA,8.5,19.1,5,42.5,1,NA,39.1,1
NA,NA,5.5,NA,6,22,5,60,1,NA,35,1
NA,NA,9.7,NA,8.5,19.2,5,37,1,NA,39.1,1
NA,NA,9.7,NA,5.6,17.3,5,30.6,1,NA,31.7,0
NA,NA,7.4,NA,10,20,5,50,1,NA,38,1
NA,NA,3.3,NA,7.1,21.3,5,51,1,NA,35.7,1
NA,NA,3.3,NA,7.2,17.5,15,36,1,NA,32,0
NA,NA,13,NA,7.6,19.8,5,44,1,NA,36.7,1
NA,NA,13,NA,8.5,19,7,47,1,NA,38,1
NA,NA,13,NA,8.5,19,7,46,1,NA,38,1
NA,NA,11,NA,8.4,18,12,36,1,NA,36,0
NA,NA,11,NA,8.3,19.2,10,43.5,1,NA,38,0
NA,NA,11,NA,10,19,10,34.5,1,NA,38,0
NA,NA,12.8,NA,8.5,19,10,41,1,NA,38,1
NA,NA,9.3,NA,12.7,23,5,50,1,NA,50,1
NA,NA,9.3,NA,10.5,18,10,46,1,NA,46.5,1
NA,NA,9.3,NA,8,17,10,35,1,NA,32.5,1
NA,NA,9.3,NA,4,12.8,7,25,1,NA,20.7,1
NA,NA,16.7,NA,5.4,20,15,29,1,NA,32,1
NA,NA,NA,NA,8.5,20,10,38,1,NA,40,0
NA,NA,16,NA,7.8,21,10,35,1,NA,35,1
NA,NA,16,NA,7,19,5,31,1,NA,32.5,1
NA,NA,16,NA,10,20,15,33,1,NA,35,1
NA,NA,14,NA,8.5,19,10,34,1,NA,38,0
0,0,15,0,7,19,10,26,1,1,33,0
0,0,15,1,7.2,19,5,31,1,1,32,1
0,0,18,1,9,19,20,33,1,0,38.5,0
1,1,14.4,1,6,19,12,33,1,1,31,1
1,1,14.4,0,9.5,19,10,33,1,1,36,1
1,0,13.2,1,8,20,10,33,1,1,38,0
1,0,10.8,1,10,19,10,36,1,1,39,1
1,0,7.2,1,10,17,7,38,1,1,32.6,1
1,1,13.8,1,7.7,18,3,44.5,1,1,34,1
1,1,2.1,1,12,17,7,65,1,1,42,1
0,0,15,1,6.5,18.7,10,24.5,1,1,32.5,0
1,0,15,1,8,18,10,30,1,1,32,0
1,1,4.2,1,10,16,2,48,1,0,35,1
0,0,15,1,6.5,18.7,10,24.5,1,1,32.5,0
1,0,12,1,7.6,17,7,30,1,1,32,0
1,0,5,1,7.6,16,3,47,1,0,37,1
0,0,15,0,7.5,18,10,26.5,1,1,33,0
0,0,14.4,1,7,19,5,31,1,1,32,1
1,1,13.8,1,6,18,12,33,1,1,30,1
1,1,14.4,0,9.5,19,7,33.5,1,0,36,1
1,0,13.8,1,8.5,20,10,33,1,1,39,0
1,0,11,1,10,19,10,36,1,1,39,1
1,0,8,1,10,17,10,38,1,1,33,1
1,1,13.8,1,7.7,18,3,44.5,1,1,34,1
1,1,2.1,1,12,17,7,65,1,1,42,1
0,0,10.2,1,6.5,18,3,26.5,1,1,28,1
0,1,10.2,1,6,18,3,27.5,1,1,29,1
1,0,10.2,1,6,18,3,30,1,1,30,1
1,1,10.2,1,5.6,19,10,26,1,1,30,1
1,0,10.2,1,5.5,20,12,30,1,1,31,0
1,0,10.2,1,5,21,10,28,1,1,31,1
1,0,10.2,1,5.5,21,3,30.5,1,1,31,1
1,0,10.2,1,5.5,21,3,30.5,1,1,31,1
1,0,10.2,1,6,19,10,29,1,1,32,1
0,0,10.2,1,5.5,20,10,26,1,1,32,1
0,0,10.2,0,6,21,3,28.5,1,1,32,1
0,0,10.2,0,6,22,10,32,1,1,32,1
0,0,10.2,0,8.7,18,10,31,1,1,33,1
1,0,10.2,0,11,19,10,37,1,1,34,1
1,0,10.2,0,9,19,10,36.5,1,1,35,1
1,0,10.2,0,9,19,10,36.5,1,1,35,1
1,0,10.2,0,9,19,10,36.5,1,1,35,1
1,0,10.2,0,9,19,10,36.5,1,1,35,1
1,0,10.2,1,9.6,20,5,35.5,1,1,35,1
0,0,10.2,0,10,20,5,35,1,1,35,1
0,0,10.8,0,6.5,15,10,31,1,1,30,1
0,0,10.8,1,6.5,15,12,29,1,1,30,0
0,0,10.8,0,6.5,15,10,29,1,1,30,1
0,0,10.8,0,6.5,15,10,31,1,1,30,1
0,0,10.8,1,6.5,15,10,31,1,1,30,1
0,0,10.8,1,6.5,16,10,33.2,1,1,30,1
0,0,10.8,1,6.5,16,10,31,1,1,30,1
1,0,10.8,1,6,19,12,29,1,1,30,0
1,0,10.8,0,6,19,10,28,1,1,31,1
